Filt	Pipe	TimeCMD	User	Sys	Memory(kb)
5k	Dada	timeCT	2246.10	5.12	1348220
5k	Dada	timeI	19271.52	105.69	1668292
5k	Deblur	DTime	1011.16	30.61	626352
5k	Unoise	Dtime	7.46	0.11	119068
5k	Unoise	Unitime	4.11	0.48	202024
10k	Dada	timeCT	4631.00	7.08	1646524
10k	Dada	timeI	69339.62	324.06	2826320
10k	Deblur	DTime	1256.69	32.30	626344
10k	Unoise	Dtime	32.14	0.19	221052
10k	Unoise	Unitime	7.90	0.65	415128
20k	Dada	timeCT	10842.25	17.22	2132732
20k	Dada	timeI	162181.55	335.57	4169088
20k	Deblur	DTime	2545.93	35.42	626448
20k	Unoise	Dtime	127.02	0.42	404520
20k	Unoise	Unitime	14.76	1.20	747884
30k	Dada	timeCT	16388.04	16.32	2565152
30k	Dada	timeI	333669.71	863.65	3686356
30k	Deblur	DTime	4155.59	38.86	626224
30k	Unoise	Dtime	252.68	0.58	578140
30k	Unoise	Unitime	22.41	1.70	1160732
40k	Dada	timeCT	23619.78	1027.70	2909052
40k	Dada	timeI	425120.57	462.96	4153864
40k	Deblur	DTime	5872.23	42.26	626376
40k	Unoise	Dtime	415.43	0.84	729664
40k	Unoise	Unitime	30.08	2.80	1493120
